정제키,채널수,총행수,대표세부판단유형,세부판단유형목록,콘텐츠마스터_fuzzy_overlay,판매채널목록,원문예시,대표근거
검은달의전설,2,2,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1) | 같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설) | 한아름(P000003716),검은 달의 전설 [단행본] | 검은 달의 전설,A_정산서등장_정산정보없음::624712::111350::검은 달의 전설 || B_잠재오염_정산정보없음::191043::111350::검은 달의 전설
광혈사혼무,2,2,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(2),,미스터블루(소설) | 웹소설 하이북,광혈사혼무 [단행본] | 광혈사혼무 [단행본],B_잠재오염_정산정보없음::192346::111556::광혈사혼무 || B_잠재오염_정산정보없음::192348::111556::광혈사혼무
교시연애영역,1,2,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(2)",,구글(소설),[BL] 9교시 연애영역 1권,
국세청망나니,1,2,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(2),,구글(소설),국세청 망나니 1권,322625::국세청 망나니::운영팀::김부용 || 110389::[원작]국세청 망나니::소설편집팀::이선근 || 109711::[연재]국세청 망나니::소설편집팀::이선근 || 258557::국세청 망나니::디렉터팀::정민교
금황,2,2,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1) | 같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설) | 웹소설 하이북,금황 [단행본] | 금황 [단행본],A_정산서등장_정산정보없음::194184::111821::금황 || B_잠재오염_정산정보없음::194187::111821::금황
나는작가다,1,2,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(2),,카카오페이지(소설),나는 작가다![연재],111922::0_나는 작가다_만선_일반::소설편집팀::조원재
내가알던게임이아니다,2,2,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(2),,네이버_연재 | 무툰(소설 서비스),내가 알던 게임이 아니다 | 내가 알던 게임이 아니다,미스터블루(소설)::109325 || 리디북스(이벤트)::109325 || 북큐브(소설)::109325 || 스낵북(알에스)::109325 || 판무림::109325 || 미스터블루(소설)::109325 || 리디북스(이벤트)::109325 || 북큐브(소설)::109325 || 스낵북(알에스)::109325 || 판무림::109325
내가키운용사가나에게집착한다,1,2,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(2)",,구글(소설),내가 키운 용사가 나에게 집착한다 1권,
뇌신혈,2,2,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(2),,미스터블루(소설) | 한아름(P000003716),뇌신혈 [단행본] | 뇌신혈,A_정산서등장_정산정보없음::112807::112219::뇌신혈 || A_정산서등장_정산정보없음::196913::112219::뇌신혈
대상천하,2,2,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(2),,미스터블루(소설) | 웹소설 하이북,대상천하 [단행본] | 대상천하,A_정산서등장_정산정보없음::198226::112460::대상천하 || A_정산서등장_정산정보없음::198230::112460::대상천하
마왕으로산다,2,2,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(2),,모픽(mofic) | 미소설,마왕으로 산다 | 마왕으로 산다,303762::[CP오디오] 마왕으로 산다(소설)::IP프로듀싱팀::노종아 || 303762::[CP오디오] 마왕으로 산다(소설)::IP프로듀싱팀::노종아
마황,2,2,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1) | 같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설) | 한아름(P000003716),마황 [단행본] | 마황,A_정산서등장_정산정보없음::201379::112914::마황 || B_잠재오염_정산정보없음::201384::112914::마황
만렙요원재벌이되다,2,2,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(2),,교보문고(소설) | 모픽(mofic),만렙요원 : 재벌이 되다 | 만렙요원 : 재벌이 되다,알라딘(소설)(1068659313)::107801 || 네이버_장르::107801 || 토스(소설)::107801 || 에피루스 이북클럽(B2C)::107801 || 네이버_장르(광고수익)::107801 || 알라딘(소설)(1068659313)::107801 || 네이버_장르::107801 || 토스(소설)::107801 || 에피루스 이북클럽(B2C)::107801 || 네이버_장르(광고수익)::107801
메소드로맨스메소드비스트로맨스,2,2,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(2)",,Yes24(서점) | 교보문고(소설),[BL] 메소드 로맨스 (웹툰 출간 기념 수인 외전) : 메소드 비스트 로맨스 | 메소드 로맨스(개정판). 외전 : 메소드 비스트 로맨스,
메소드로맨스증보판,2,2,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(2)",,북팔(소설) | 올툰(소설),메소드 로맨스 외전증보판 | [BL소설]메소드 로맨스 외전증보판,
보스몹이너무강함,2,2,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(2),,네이버_연재 | 네이버_장르,보스 몹이 너무 강함 | 보스 몹이 너무 강함 [단행본],Yes24(웹툰)::327782 || Yes24(시프트북스)::327782 || Yes24(서점)::327782 || OPMS::327782 || EDITIO::327782 || Yes24(웹툰)::327782 || Yes24(시프트북스)::327782 || Yes24(서점)::327782 || OPMS::327782 || EDITIO::327782
색녀,1,2,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(2),,한아름(P000003716),색녀,B_잠재오염_정산정보없음::206920::113787::색녀
"서큐버스와인큐버스,그들의수행기",1,2,같은채널 지급정산 fuzzy 동일작 확인,같은채널 지급정산 fuzzy 동일작 확인(2),,구글(소설),[19금] 서큐버스와 인큐버스， 그들의 수행기 1권,
섹스로지배한다,2,2,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(2),,알라딘(소설)(1068659313) | 판무림,섹스로 지배한다 1 | 섹스로 지배한다,밀리의 서재::107814 || 구글(소설)::107814 || 윌라(전자책)::107814 || 미스터블루(소설)::107814 || 한아름(P000003716)::107814 || 밀리의 서재::107814 || 구글(소설)::107814 || 윌라(전자책)::107814 || 미스터블루(소설)::107814 || 한아름(P000003716)::107814
야한연극의ts주인공이되었다,2,2,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(2),,구글(소설) | 조아라(소설),야한 연극의 TS 주인공이 되었다 1권 | 야한 연극의 TS 주인공이 되었다 (단행본),323531::0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반::소설편집팀::조원재 || 323531::0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반::소설편집팀::조원재
용사는조용히살고싶다,2,2,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(2),,네이버_연재 | 리디북스(소설),용사는 조용히 살고 싶다 [독점] | [e북]용사는 조용히 살고 싶다 1권,북큐브(소설)::247291 || 리디북스(이벤트)::247291 || 교보문고(톡소다)::247291 || 북팔(소설)::247291 || 모픽(mofic)::247291 || 북큐브(소설)::247291 || 리디북스(이벤트)::247291 || 교보문고(톡소다)::247291 || 북팔(소설)::247291 || 모픽(mofic)::247291
이름을세번부를때까지,2,2,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1) | 타채널 지급정산 기반 해당채널 보강 판단(1),,로망띠끄 | 리디북스(소설),이름을 세 번 부를 때까지 | [e북]이름을 세 번 부를 때까지,B_잠재오염_정산정보없음::214155::114987::이름을 세 번 부를 때까지 || 114987::[정산정보없음]_이름을 세 번 부를 때까지::봄툰소설편집팀::허은지 || 109581::[연재] 이름을 세 번 부를 때까지::봄툰소설편집팀::허은지 || 326446::이름을 세 번 부를때까지::편집4팀::윤정혜 || 325695::이름을 세 번 부를 때까지::편집4팀::윤정혜
절망하고복종하라,2,2,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(2),,구글(소설) | 무툰(소설 서비스),절망하고 복종하라 1권 | 절망하고 복종하라,알라딘(소설)(1068659313)::107832 || 밀리의 서재::107832 || 윌라(전자책)::107832 || 스낵북(알에스)::107832 || 판무림::107832 || 알라딘(소설)(1068659313)::107832 || 밀리의 서재::107832 || 윌라(전자책)::107832 || 스낵북(알에스)::107832 || 판무림::107832
중력술사아스께끼맨,2,2,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(2),,미소설 | 윌라(전자책),중력술사 아스께끼맨 | 중력술사 아스께끼맨 1,밀리의 서재::247247 || 미스터블루(소설)::247247 || 스낵북(알에스)::247247 || 웹소설 하이북::247247 || 원스토어(소설)::247247 || 밀리의 서재::247247 || 미스터블루(소설)::247247 || 스낵북(알에스)::247247 || 웹소설 하이북::247247 || 원스토어(소설)::247247
집사와수상한계약을,1,2,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(2)",,구글(소설),[19금] 집사와 수상한 계약을 1권,
천마겁,2,2,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1) | 같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,무툰(소설 서비스) | 웹소설 하이북,천마겁(무삭제본) | 천마겁(무삭제본),A_정산서등장_정산정보없음::218100::115591::천마겁(무삭제본) || B_잠재오염_정산정보없음::116283::115591::천마겁(무삭제본)
홀로서기,2,2,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(2),,미스터블루(소설) | 한아름(P000003716),홀로서기 [단행본] | 홀로서기,B_잠재오염_정산정보없음::163695::160333::홀로서기 || B_잠재오염_정산정보없음::889283::160333::홀로서기
epl프리미어리그,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,네이버_연재,EPL-프리미어 리그,Yes24(웹툰)::111145 || Yes24(시프트북스)::111145 || Yes24(서점)::111145 || OPMS::111145 || EDITIO::111145
lust,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),LUST [단행본],B_잠재오염_정산정보없음::163710::160347::LUST
ntr당한암컷용사는존예왕비가되었다,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,미스터블루(소설),NTR당한 암컷용사는 존예왕비가 되었다,블라이스_일반결제::322574 || 한아름(P000003716)::322574 || 네이버_연재::322574 || 미소설::322574 || 교보문고(소설)::322574
sss급천재,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,네이버_연재,SSS급 천재,110669::[카카오]SSS급 천재::소설2팀::김인희
검정대륙행,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,무툰(소설 서비스),검정대륙행,B_잠재오염_정산정보없음::191064::111358::검정대륙행
검혼무,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),검혼무 [단행본],A_정산서등장_정산정보없음::806958::111371::검혼무
고검기,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),고검기 [단행본],A_정산서등장_정산정보없음::163375::160177::고검기
고검사우객,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),고검사우객 [단행본],A_정산서등장_정산정보없음::112009::111445::고검사우객
고구마,1,1,"콘텐츠마스터 있음, 판매채널/지급정산 신규 판단","콘텐츠마스터 있음, 판매채널/지급정산 신규 판단(1)",,리디북스(소설),고구마,111449::고구마::소설편집팀::이선근
관능소설구멍,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),관능소설-구멍 (무삭제판) [단행본],B_잠재오염_정산정보없음::489309::247339::관능소설-구멍(무삭제판)
교수님과하룻밤을보낼거야,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,카카오페이지(소설),교수님과 하룻밤을 보낼 거야[단독선공개],B_잠재오염_정산정보없음::567880::160286::교수님과하룻밤을보낼거야
군,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),군 [단행본],A_정산서등장_정산정보없음::192809::111607::군(軍)
그여자의숲,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),그 여자의 숲 [단행본],B_잠재오염_정산정보없음::163694::160332::그여자의숲
나비를잡는아버지,1,1,"콘텐츠마스터 있음, 판매채널/지급정산 신규 판단","콘텐츠마스터 있음, 판매채널/지급정산 신규 판단(1)",,리디북스(소설),나비를 잡는 아버지,111932::나비를 잡는 아버지::소설편집팀::이선근
나쁜며느리,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),나쁜 며느리 [단행본],A_정산서등장_정산정보없음::163902::160510::나쁜며느리
나이츠,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),나이츠 (Nights) [단행본],A_정산서등장_정산정보없음::806960::133829::나이츠(Nights)
나태한연기천재,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,구글(소설),나태한 연기 천재 1권,109416::[연재] 나태한 연기 천재::소설편집팀::이선근
낙하산과클레오파트라,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),낙하산과 클레오파트라 [단행본],B_잠재오염_정산정보없음::195271::111967::낙하산과 클레오파트라
내딸은천재화백,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,구글(소설),내 딸은 천재화백 1권,313273::내 딸은 천재화백::소설유통팀::김성경 || 109423::[연재] 내 딸은 천재화백::소설편집팀::이선근
냉홍검,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),냉홍검 [단행본],B_잠재오염_정산정보없음::163368::160172::냉홍검
너의빛깔너의향기,1,1,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(1)",,구글(소설),[BL] 너의 빛깔 너의 향기 1권,
네임드,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,네이버_연재,네임드,Yes24(웹툰)::327780 || Yes24(시프트북스)::327780 || Yes24(서점)::327780 || OPMS::327780 || EDITIO::327780
"년의실종,재회그리고",1,1,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(1)",,구글(소설),[19금] 4년의 실종， 재회 그리고 1권,
논마라나타,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,네이버_연재,논 마라나타(non marana tha)[BL],A_정산서등장_정산정보없음::176284::109435::[연재] 논 마라나타(non marana tha)
뇌전왕,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),뇌전왕 [단행본],B_잠재오염_정산정보없음::163187::160099::뇌전왕
누나를길들이다,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,Yes24(서점),누나를 길들이다 01권,토스(소설)::107792 || 네이버_장르::107792 || 네이버_연재::107792 || 구글(소설)::107792 || 알라딘(소설)(1068659313)::107792
누나와김병장,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,원스토어(소설),누나와 김병장,B_잠재오염_정산정보없음::489453::247404::누나와김병장
달달물이라며,1,1,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(1)",,구글(소설),[BL] 달달물이라며 1권,
달이가득차오를때,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),달이 가득 차오를 때 [단행본],B_잠재오염_정산정보없음::163161::160079::달이가득차오를때
대단히부도덕한섹스,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,한아름(P000003716),대단히 부도덕한 섹스(무삭제판),B_잠재오염_정산정보없음::489778::247519::대단히부도덕한섹스(무삭제판)
대도란,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),대도란 [단행본],A_정산서등장_정산정보없음::113031::112440::대도란
더씨,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),더 씨 [단행본],B_잠재오염_정산정보없음::853898::247437::더씨
더히어로즈,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),더 히어로즈 [단행본],A_정산서등장_정산정보없음::163205::160109::더히어로즈
던전에서성자性者가하는일,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,문피아,던전에서 성자性者가 하는 일,조아라(소설)::112529 || 무툰(소설 서비스)::112529 || 밀리의 서재::112529 || 웹소설 하이북::112529 || 네이버_연재::112529
던전에서성자가하는일,1,1,같은채널 지급정산 fuzzy 동일작 확인,같은채널 지급정산 fuzzy 동일작 확인(1),,네이버_장르,던전에서 성자가 하는 일 [단행본],
도광사,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),도광사 [단행본],B_잠재오염_정산정보없음::489328::247354::도광사
독수혈랑,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,한아름(P000003716),독수혈랑,A_정산서등장_정산정보없음::199233::112588::독수혈랑
디멘션워리어,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,구글(소설),디멘션 워리어 1,112676::디멘션 워리어::소설편집팀::이선근
마왕겁,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,네이버_연재,마왕겁,Yes24(웹툰)::327783 || Yes24(시프트북스)::327783 || Yes24(서점)::327783 || OPMS::327783 || EDITIO::327783
만강홍,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,네이버_장르,만강홍 [단행본],B_잠재오염_정산정보없음::113528::112918::만강홍
만약에,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),만약에 [단행본],B_잠재오염_정산정보없음::163753::160387::만약에
만포인트로환생하기,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,조아라(소설),1422만 포인트로 환생하기,B_잠재오염_정산정보없음::883375::107774::(연재)1422만 포인트로 환생하기
말년에이계라니,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,네이버_장르,말년에 이계라니,Yes24(웹툰)::110760 || Yes24(시프트북스)::110760 || Yes24(서점)::110760 || OPMS::110760 || EDITIO::110760
망겜의고인물로살아남기프롤로그,1,1,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(1)",콘텐츠마스터 부분포함 후보(1),리디북스(소설),망겜의 고인물로 살아남기 프롤로그,0.7387::109855::[연재]망겜의 고인물로 살아남기::소설편집팀::이선근
모녀의외도,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,원스토어(소설),모녀의 외도,B_잠재오염_정산정보없음::891962::160513::모녀의외도
몸으로우는소쩍새,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,네이버_장르,몸으로 우는 소쩍새 [단행본],B_잠재오염_정산정보없음::163727::160362::몸으로우는소쩍새
몽유강호,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),몽유강호 [단행본],A_정산서등장_정산정보없음::565433::113047::몽유강호
묘연만왕,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,한아름(P000003716),묘연만왕,A_정산서등장_정산정보없음::202243::113055::묘연만왕
무례한남자약은여자,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,한아름(P000003716),무례한 남자 약은 여자,B_잠재오염_정산정보없음::489555::247433::무례한남자약은여자
무림귀공자,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),무림귀공자 [단행본],A_정산서등장_정산정보없음::202375::113074::무림귀공자
무림누나능욕게임,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,네이버_연재,무림누나 능욕게임,Yes24(웹툰)::327814 || Yes24(시프트북스)::327814 || Yes24(서점)::327814 || OPMS::327814 || EDITIO::327814
무림성,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),무림성 [단행본],B_잠재오염_정산정보없음::163146::160067::무림성
무상검,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),무상검 [단행본],A_정산서등장_정산정보없음::113711::113094::무상검
무심결,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),무심결 [단행본],A_정산서등장_정산정보없음::113718::113101::무심결
묻지마관광윤간사건,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,원스토어(소설),묻지마관광 윤간사건,B_잠재오염_정산정보없음::489665::247483::묻지마관광윤간사건
미생법사,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,네이버_장르,미생법사 [단행본],Yes24(웹툰)::318052 || Yes24(시프트북스)::318052 || Yes24(서점)::318052 || OPMS::318052 || EDITIO::318052
미식축구가너무쉬움,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,구글(소설),미식축구가 너무 쉬움 1부 1권,323306::미식축구가 너무 쉬움::운영팀::김부용 || 312931::미식축구가 너무 쉬움 1부::소설유통팀::김성경 || 247328::[연재]미식축구가너무쉬움::웹툰사업부::박민지
밀풍대문,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),밀풍대문 [단행본],A_정산서등장_정산정보없음::203562::113218::밀풍대문
바람난아내,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),바람난 아내 [단행본],B_잠재오염_정산정보없음::489333::247359::바람난아내
백팔금수권,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),백팔금수권 [단행본],A_정산서등장_정산정보없음::113961::113333::백팔금수권
베스트단편추리소설걸작선,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,네이버_장르,베스트 단편추리소설 걸작선,A_정산서등장_정산정보없음::181005::109919::[연재]베스트 단편 추리소설 걸작선
벽력무진,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),벽력무진(霹靂無盡) [단행본],B_잠재오염_정산정보없음::565450::113370::벽력무진(霹靂無盡)
보이즈돈크라이,1,1,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(1)",,리디북스(소설),[e북]보이즈 돈 크라이 (Boys don't cry) 1권,
북해빙궁의망조를막아보겠습니다,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,올툰(소설),[소설]북해빙궁의 망조를 막아보겠습니다,295490::북해빙궁의 망조를 막아보겠습니다::소설2팀::김수지
붉은심장에올라탄중사,1,1,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(1)",,구글(소설),[19금] 붉은 심장에 올라탄 중사 1권,
비정혈루,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),비정혈루 [단행본],B_잠재오염_정산정보없음::114176::113544::비정혈루
사모님과마사지알바생,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,원스토어(소설),사모님과 마사지 알바생,B_잠재오염_정산정보없음::489463::160492::사모님과마사지알바생
사풍반사생,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),사풍반사생 [단행본],B_잠재오염_정산정보없음::489338::247364::사풍반사생
살차이,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,한아름(P000003716),7살 차이,B_잠재오염_정산정보없음::889278::160337::7살차이
삼국지이신창성,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,네이버_연재,삼국지 이신 창성,Yes24(웹툰)::327784 || Yes24(시프트북스)::327784 || Yes24(서점)::327784 || OPMS::327784 || EDITIO::327784
삼랑소,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,무툰(소설 서비스),삼랑소,A_정산서등장_정산정보없음::206738::113754::삼랑소
