세부판단유형,원판단유형,판매채널,정제키,행수,원문예시,같은채널_판매채널콘텐츠_근거,콘텐츠마스터_근거,타채널_지급정산_근거,기존대표근거,권고
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,무툰(소설 서비스),천의역근참수기,1,천의역근참수기,B_잠재오염_정산정보없음::116337::115644::천의역근참수기,115644::[정산정보없음]_천의역근참수기::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,무툰(소설 서비스),칠색무,1,칠색무,B_잠재오염_정산정보없음::631422::115819::칠색무,115819::[정산정보없음]_칠색무::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미소설,검웅영제,1,검웅영제 (무삭제 개정판),B_잠재오염_정산정보없음::191008::111345::검웅영제(무삭제 개정판),111345::[정산정보없음]_검웅영제(무삭제 개정판)::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미소설,칠기무제,1,칠기무제 (무삭제 개정판),B_잠재오염_정산정보없음::219466::115816::칠기무제(무삭제 개정판),115816::[정산정보없음]_칠기무제(무삭제 개정판)::소설편집팀::이선근 || 109190::[세트]칠기무제(무삭제 개정판)(전3권 완결)::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),lust,1,LUST [단행본],B_잠재오염_정산정보없음::163710::160347::LUST,160347::[정산정보없음]_LUST::소설2팀::김인희,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),관능소설구멍,1,관능소설-구멍 (무삭제판) [단행본],B_잠재오염_정산정보없음::489309::247339::관능소설-구멍(무삭제판),247339::[정산정보없음]_관능소설-구멍(무삭제판)::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),광혈사혼무,1,광혈사혼무 [단행본],B_잠재오염_정산정보없음::192346::111556::광혈사혼무,111556::[정산정보없음]_광혈사혼무::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),그여자의숲,1,그 여자의 숲 [단행본],B_잠재오염_정산정보없음::163694::160332::그여자의숲,160332::[정산정보없음]_그여자의숲::소설2팀::김인희,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),낙하산과클레오파트라,1,낙하산과 클레오파트라 [단행본],B_잠재오염_정산정보없음::195271::111967::낙하산과 클레오파트라,111967::[정산정보없음]_낙하산과 클레오파트라::소설2팀::김인희,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),냉홍검,1,냉홍검 [단행본],B_잠재오염_정산정보없음::163368::160172::냉홍검,160172::[정산정보없음]_냉홍검::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),뇌전왕,1,뇌전왕 [단행본],B_잠재오염_정산정보없음::163187::160099::뇌전왕,160099::[정산정보없음]_뇌전왕::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),달이가득차오를때,1,달이 가득 차오를 때 [단행본],B_잠재오염_정산정보없음::163161::160079::달이가득차오를때,160079::[정산정보없음]_달이가득차오를때::소설2팀::김인희,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),더씨,1,더 씨 [단행본],B_잠재오염_정산정보없음::853898::247437::더씨,247437::[정산정보없음]_더씨::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),도광사,1,도광사 [단행본],B_잠재오염_정산정보없음::489328::247354::도광사,247354::[정산정보없음]_도광사::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),독검,1,독검 [단행본],B_잠재오염_정산정보없음::488042::160066::독검,160066::[정산정보없음]_독검::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),만약에,1,만약에 [단행본],B_잠재오염_정산정보없음::163753::160387::만약에,160387::[정산정보없음]_만약에::소설2팀::김인희,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),무림성,1,무림성 [단행본],B_잠재오염_정산정보없음::163146::160067::무림성,160067::[정산정보없음]_무림성::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),무유지,1,무유지 [단행본],B_잠재오염_정산정보없음::163351::160166::무유지,160166::[정산정보없음]_무유지::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),바람난아내,1,바람난 아내 [단행본],B_잠재오염_정산정보없음::489333::247359::바람난아내,247359::[정산정보없음]_바람난아내::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),타채널 exact 지급정산 보강 판단,미스터블루(소설),벽력무진,1,벽력무진(霹靂無盡) [단행본],B_잠재오염_정산정보없음::565450::113370::벽력무진(霹靂無盡),322616::벽력무진(霹靂無盡)::운영팀::김부용 || 113370::벽력무진(霹靂無盡)::소설편집팀::이선근,구글(소설)::322616 || 리디북스(소설)::113370 || 한아름(P000003716)::113370 || 웹소설 하이북::113370 || 판무림::113370,구글(소설)::벽력무진(霹靂無盡)::322616 || 리디북스(소설)::벽력무진(霹靂無盡)::113370 || 한아름(P000003716)::벽력무진(霹靂無盡)::113370 || 웹소설 하이북::벽력무진(霹靂無盡)::113370 || 판무림::벽력무진(霹靂無盡)::113370,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),비정혈루,1,비정혈루 [단행본],B_잠재오염_정산정보없음::114176::113544::비정혈루,113544::비정혈루::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),사풍반사생,1,사풍반사생 [단행본],B_잠재오염_정산정보없음::489338::247364::사풍반사생,247364::[정산정보없음]_사풍반사생::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),타채널 exact 지급정산 보강 판단,미스터블루(소설),소,1,소 [단행본],B_잠재오염_정산정보없음::207497::113906::소(笑),113906::소(笑)::소설편집팀::이선근,네이버_장르::113906 || 카카오페이지(소설)::113906 || 무툰(소설 서비스)::113906 || 웹소설 하이북::113906 || 판무림::113906,네이버_장르::소(笑)::113906 || 카카오페이지(소설)::소(笑)::113906 || 무툰(소설 서비스)::소(笑)::113906 || 웹소설 하이북::소(笑)::113906 || 판무림::소(笑)::113906,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),타채널 exact 지급정산 보강 판단,미스터블루(소설),신,1,신 [단행본],B_잠재오염_정산정보없음::208682::114119::신(神) || B_잠재오염_정산정보없음::208715::114122::신[神] (무삭제판),114122::신[神] (무삭제판)::소설편집팀::이선근 || 114119::신(神)::소설편집팀::이선근 || 109534::[연재] 신[神] (무삭제판)::소설편집팀::이선근,한아름(P000003716)::114119 || 원스토어(소설)::114122 || 웹소설 하이북::109534 || 무툰(소설 서비스)::109534 || 교보문고(소설)::114122,한아름(P000003716)::신(神)::114119 || 원스토어(소설)::신[神] (무삭제판)::114122 || 웹소설 하이북::[연재] 신[神] (무삭제판)::109534 || 무툰(소설 서비스)::[연재] 신[神] (무삭제판)::109534 || 교보문고(소설)::신[神] (무삭제판)::114122,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),신협,1,신협 [단행본],B_잠재오염_정산정보없음::163373::160175::신협,160175::[정산정보없음]_신협::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),옷깃인연,1,옷깃인연 [단행본],B_잠재오염_정산정보없음::488948::247192::옷깃인연,247192::[정산정보없음]_옷깃인연::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),용병왕패러렐월드,1,용병왕 패러렐월드 [단행본],B_잠재오염_정산정보없음::163186::160098::용병왕패러렐월드,160098::[정산정보없음]_용병왕패러렐월드::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),운명을거부하는여자,1,운명을 거부하는 여자 [단행본],B_잠재오염_정산정보없음::163709::160346::운명을거부하는여자,160346::[정산정보없음]_운명을거부하는여자::소설2팀::김인희,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),유견추월심망연,1,유견추월심망연 [단행본],B_잠재오염_정산정보없음::213727::114899::유견추월심망연,114899::[정산정보없음]_유견추월심망연::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),제세성존,1,제세성존 [단행본],B_잠재오염_정산정보없음::216313::115366::제세성존,115366::[정산정보없음]_제세성존::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),천의역근참수기,1,천의역근참수기 [단행본],B_잠재오염_정산정보없음::218534::115644::천의역근참수기,115644::[정산정보없음]_천의역근참수기::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),쾌도낭자,1,쾌도낭자 [단행본],B_잠재오염_정산정보없음::163106::160049::쾌도낭자,160049::[정산정보없음]_쾌도낭자::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),타루폰카라얀,1,타루폰카라얀 [단행본],B_잠재오염_정산정보없음::163236::160123::타루폰카라얀,160123::[정산정보없음]_타루폰카라얀::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,미스터블루(소설),혈안은구,1,혈안은구 [단행본],B_잠재오염_정산정보없음::163332::160163::혈안은구,160163::[정산정보없음]_혈안은구::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),타채널 exact 지급정산 보강 판단,미스터블루(소설),홀로서기,1,홀로서기 [단행본],B_잠재오염_정산정보없음::163695::160333::홀로서기,160333::[정산정보없음]_홀로서기::소설2팀::김인희 || 116362::홀로서기(개정판)::소설편집팀::이선근,로망띠끄::116362,로망띠끄::홀로서기(개정판)::116362,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),타채널 exact 지급정산 보강 판단,미스터블루(소설),화왕세기,1,화왕세기 [단행본],B_잠재오염_정산정보없음::565541::116391::화왕세기 || B_잠재오염_정산정보없음::836594::116394::화왕세기[무삭제판] 합본,116394::화왕세기[무삭제판] 합본::소설편집팀::이선근 || 116393::화왕세기[무삭제판]::소설편집팀::이선근 || 116392::화왕세기::소설편집팀::이선근 || 116391::화왕세기::소설편집팀::이선근 || 109646::[연재] 화왕세기[무삭제본]::소설편집팀::이선근,한아름(P000003716)::116392 || 판무림::116391 || 판무림::116392 || 무툰(소설 서비스)::116393 || 리디북스(소설)::116391,한아름(P000003716)::화왕세기::116392 || 판무림::화왕세기::116391 || 판무림::화왕세기::116392 || 무툰(소설 서비스)::화왕세기[무삭제판]::116393 || 리디북스(소설)::화왕세기::116391,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),타채널 exact 지급정산 보강 판단,에피루스 이북클럽(B2C),신마열전,1,신마열전 1,B_잠재오염_정산정보없음::568295::114138::신마열전,114138::신마열전::소설편집팀::이선근,무툰(소설 서비스)::114138 || 미스터블루(소설)::114138 || 네이버_장르::114138 || 한아름(P000003716)::114138 || 웹소설 하이북::114138,무툰(소설 서비스)::신마열전::114138 || 미스터블루(소설)::신마열전::114138 || 네이버_장르::신마열전::114138 || 한아름(P000003716)::신마열전::114138 || 웹소설 하이북::신마열전::114138,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,원스토어(소설),누나와김병장,1,누나와 김병장,B_잠재오염_정산정보없음::489453::247404::누나와김병장,247404::[정산정보없음]_누나와김병장::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,원스토어(소설),모녀의외도,1,모녀의 외도,B_잠재오염_정산정보없음::891962::160513::모녀의외도,160513::[정산정보없음]_모녀의외도::소설2팀::김인희,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,원스토어(소설),무유지,1,무유지,B_잠재오염_정산정보없음::488201::160166::무유지,160166::[정산정보없음]_무유지::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,원스토어(소설),묻지마관광윤간사건,1,묻지마관광 윤간사건,B_잠재오염_정산정보없음::489665::247483::묻지마관광윤간사건,247483::[정산정보없음]_묻지마관광윤간사건::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,원스토어(소설),사모님과마사지알바생,1,사모님과 마사지 알바생,B_잠재오염_정산정보없음::489463::160492::사모님과마사지알바생,160492::[정산정보없음]_사모님과마사지알바생::소설2팀::김인희,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,원스토어(소설),아내의간통현장,1,아내의 간통현장,B_잠재오염_정산정보없음::489675::247492::아내의간통현장,247492::[정산정보없음]_아내의간통현장::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,원스토어(소설),아이돌공략법으로데뷔합니다,1,아이돌 공략법으로 데뷔합니다,B_잠재오염_정산정보없음::874284::109544::[연재] 아이돌 공략법으로 데뷔합니다,109544::[정산정보없음]_[연재] 아이돌 공략법으로 데뷔합니다::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,웹소설 하이북,광혈사혼무,1,광혈사혼무 [단행본],B_잠재오염_정산정보없음::192348::111556::광혈사혼무,111556::[정산정보없음]_광혈사혼무::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,웹소설 하이북,금황,1,금황 [단행본],B_잠재오염_정산정보없음::194187::111821::금황,111821::[정산정보없음]_금황::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,웹소설 하이북,십교종사,1,십교종사,B_잠재오염_정산정보없음::209295::114193::십교종사,114193::[정산정보없음]_십교종사::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,웹소설 하이북,태양천자,1,태양천자,B_잠재오염_정산정보없음::220164::115944::태양천자,115944::[정산정보없음]_태양천자::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),타채널 exact 지급정산 보강 판단,웹소설 하이북,호협천추,1,호협천추 [단행본],B_잠재오염_정산정보없음::716827::116350::호협천추,116350::호협천추::소설편집팀::이선근 || 110307::[연재]호협천추::소설편집팀::이선근,한아름(P000003716)::110307 || 네이버_연재::116350 || 카카오페이지(소설)::116350 || 리디북스(소설)::110307 || 한아름(P000003716)::116350,한아름(P000003716)::[연재]호협천추::110307 || 네이버_연재::호협천추::116350 || 카카오페이지(소설)::호협천추::116350 || 리디북스(소설)::[연재]호협천추::110307 || 한아름(P000003716)::호협천추::116350,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,조아라(소설),만포인트로환생하기,1,1422만 포인트로 환생하기,B_잠재오염_정산정보없음::883375::107774::(연재)1422만 포인트로 환생하기,107774::[정산정보없음]_(연재)1422만 포인트로 환생하기::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,조아라(소설),아이돌공략법으로데뷔합니다,1,아이돌 공략법으로 데뷔합니다,B_잠재오염_정산정보없음::878839::109544::[연재] 아이돌 공략법으로 데뷔합니다,109544::[정산정보없음]_[연재] 아이돌 공략법으로 데뷔합니다::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),타채널 exact 지급정산 보강 판단,카카오페이지(소설),교수님과하룻밤을보낼거야,1,교수님과 하룻밤을 보낼 거야[단독선공개],B_잠재오염_정산정보없음::567880::160286::교수님과하룻밤을보낼거야,323852::교수님과 하룻밤을 보낼 거야::소설사업부::김정원 || 160286::[정산정보없음]_교수님과하룻밤을보낼거야::소설2팀::김인희,리디북스(소설)::323852,리디북스(소설)::교수님과 하룻밤을 보낼 거야::323852,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,카카오페이지(소설),아사벼리이지환로맨스소설,1,아사벼리 - 이지환  로맨스소설 [완결],B_잠재오염_정산정보없음::589646::295496::아사벼리 - 이지환  로맨스소설 [완결],295496::[정산정보없음]_아사벼리 - 이지환  로맨스소설 [완결]::소설사업부::김정원,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,판무림,구룡겁,1,구룡겁,B_잠재오염_정산정보없음::192474::111572::구룡겁,111572::[정산정보없음]_구룡겁::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,판무림,칠색무,1,칠색무,B_잠재오염_정산정보없음::219486::115819::칠색무,115819::[정산정보없음]_칠색무::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,한아름(P000003716),검은달의전설,1,검은 달의 전설,B_잠재오염_정산정보없음::191043::111350::검은 달의 전설,111350::[정산정보없음]_검은 달의 전설::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,한아름(P000003716),대단히부도덕한섹스,1,대단히 부도덕한 섹스(무삭제판),B_잠재오염_정산정보없음::489778::247519::대단히부도덕한섹스(무삭제판),247519::[정산정보없음]_대단히부도덕한섹스(무삭제판)::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,한아름(P000003716),마황,1,마황,B_잠재오염_정산정보없음::201384::112914::마황,112914::[정산정보없음]_마황::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,한아름(P000003716),무례한남자약은여자,1,무례한 남자 약은 여자,B_잠재오염_정산정보없음::489555::247433::무례한남자약은여자,247433::[정산정보없음]_무례한남자약은여자::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,한아름(P000003716),살차이,1,7살 차이,B_잠재오염_정산정보없음::889278::160337::7살차이,160337::[정산정보없음]_7살차이::소설2팀::김인희,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,한아름(P000003716),색녀여사장의유혹,1,색녀 여사장의 유혹,B_잠재오염_정산정보없음::206922::113789::색녀 여사장의 유혹,113789::색녀 여사장의 유혹::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,한아름(P000003716),십교종사,1,십교종사,B_잠재오염_정산정보없음::209297::114193::십교종사,114193::[정산정보없음]_십교종사::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,한아름(P000003716),아름다운날들의고백,1,아름다운 날들의 고백,B_잠재오염_정산정보없음::889280::114261::아름다운 날들의 고백(개정판),114261::[정산정보없음]_아름다운 날들의 고백(개정판)::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,한아름(P000003716),지독한사랑미친섹스,1,"지독한 사랑, 미친 섹스 (무삭제판)","B_잠재오염_정산정보없음::489779::247520::지독한사랑,미친섹스(무삭제판)","247520::[정산정보없음]_지독한사랑,미친섹스(무삭제판)::소설편집팀::이선근",,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,한아름(P000003716),층자위여학생농락,1,2층 자위 여학생 농락,B_잠재오염_정산정보없음::189518::111114::2층 자위 여학생 농락,111114::2층 자위 여학생 농락::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),타채널 exact 지급정산 보강 판단,한아름(P000003716),홀로서기,1,홀로서기,B_잠재오염_정산정보없음::889283::160333::홀로서기,160333::[정산정보없음]_홀로서기::소설2팀::김인희 || 116362::홀로서기(개정판)::소설편집팀::이선근,로망띠끄::116362,로망띠끄::홀로서기(개정판)::116362,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),타채널 exact 지급정산 보강 판단,한아름(P000003716),황성고검,1,황성고검,B_잠재오염_정산정보없음::223467::116442::황성고검,116443::황성고검::소설편집팀::이선근 || 116442::[정산정보없음]_황성고검::소설편집팀::이선근,미스터블루(소설)::116443 || 웹소설 하이북::116443,미스터블루(소설)::황성고검::116443 || 웹소설 하이북::황성고검::116443,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
